id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
9711,"comieron unas pizzas ayer y algunas cosas dulces, estaba viendo las noticias, estuvimos hablando de los médicos que son un lió dice que los turnos  no se sabe nada ,que no están diciendo cuando te los van a correr pero bueno que hay que esperar escucho que tenia un perro y me comento de su perra que ya esta grande pero que sigue siendo como una cachorra me contó como la encontraron estuvimos hablando mas de 1 hora",comieron pizzas dulces viendo noticias hablando medicos lio turnos diciendo correr esperar escucho perro perra grande cachorra conto encontraron hablando _digit_ hora,POSITIVO,R
9712,como acordamos le alcanzo una caja de alimentos retirada de hipolito yrigoyen 4848. quedamos en hablar por cualquier necesidad.,acordamos alcanzo caja alimentos retirada yrigoyen _digit_ quedamos hablar necesidad,POSITIVO,R
9713,"cómo se indicó anteriormente se converso con la señora los días 6, 13 y 18 de abril por seguimiento, se informa las últimas 
 llamadas.......                                                                    el día 20 de abril la señora margarita manifiesta que ella y su esposo fueron a cobrar la jubilacion ambos se encuentran bien y tienen fluida comunicación con sus hijos                         el día 23 de abrilla señora es breve durante la llamada por qué en ese momento llegó una de sus hijas trayendo artículos varios , indicó q ella y su esposo están bien.                                                  el día 29 de abril la señora cuenta que pasó muy bien está semana por estar conectándose más en las redes, es una conversación distendida con una persona bien predispuesta.                         cabe destacar que la lic mariana ramón se comunico con la actuante para interiorizarse acerca de la sra sánchez, se intercambiaron varias llamadas dónde se le explicó q el matrimonio se encuentran bien y que es la señora una persona comunicativa y qué día a día va tomando seguridad ante la situación imperante.",anteriormente converso senora _digit_ _digit_ _digit_ abril seguimiento informa llamadas _digit_ abril senora margarita manifiesta esposo cobrar jubilacion encuentran fluida comunicacion hijos _digit_ abrilla senora llamada hijas trayendo articulos esposo _digit_ abril senora paso semana conectandose redes conversacion distendida persona predispuesta cabe destacar lic comunico actuante interiorizarse acerca sanchez intercambiaron llamadas matrimonio encuentran senora persona comunicativa tomando seguridad situacion imperante,POSITIVO,R
9714,"como siempre hablamos de como se siente, y por suerte esta muy tranquila y asistida x sus vecinos.",hablamos siente suerte tranquila asistida vecinos,POSITIVO,R
9715,"como viene siendo costumbre, otro breve llamado dónde me hacen sabe que todo está bien. 
quisiera aclarar que son ellos quienes me marcan el fin de la llamada.",viene costumbre llamado quisiera aclarar marcan llamada,POSITIVO,R
9716,compra de la farmacia. avisar antes de ir por seguridad,compra farmacia avisar seguridad,NEUTRAL,NR
9717,"comunicación en el día de ayer
(me olvidé de cargar)",comunicacion olvide cargar,NO RELEVANTE,NR
9718,"comunicándome con la señora, me cuenta que anda muy bien, atendiendo su jardín y de buen ánimo",comunicandome senora anda atendiendo jardin animo,POSITIVO,R
9719,"comuniqué que tiene asignada la lic silvia tedesco.- 
tiene programado el llamado de la licenciada para el lunes 04/05.-",comunique asignada lic tedesco - programado llamado licenciada lunes _digit_ _digit_ -,NEUTRAL,NR
9720,"con fin de acompañamiento, me contacto con teresa.
refiere que se encuentra mejor de ánimo hoy pero que tiene sus días.
dice estar angustiada, recibe ayuda de su familia.  le gustaría tomar contacto  con un psicólogo.",acompanamiento contacto teresa refiere animo angustiada recibe ayuda familia gustaria tomar contacto psicologo,NEUTRAL,NR
9721,con gusto recibe mis lamados,gusto recibe lamados,POSITIVO,R
9722,"con la señora estamos en constante contacto telefónico, ya sea con llamado o vía whatsapp y se encuentra muy bien, estos días estuvo algo bajoneada por la situación, pero con las charlas diarias, siempre agradecidas, va llevándola muy bien. no pude cargar estos días por problemas técnicos, pero siempre comunicado con la señora.",senora constante contacto telefonico llamado via whatsapp bajoneada situacion charlas diarias agradecidas llevandola pude cargar problemas tecnicos comunicado senora,POSITIVO,R
9723,"con la señora mabel tenemos una excelente comunicación telefónica y vía whatsapp y ella es muy agradecida por el acompañamiento. no pude acentarlo antes en sistema por falta de internet, pero diariamente nos comunicamos y se encuentra muy bien de salud y ánimo.",senora excelente comunicacion telefonica via whatsapp agradecida acompanamiento pude acentarlo sistema falta internet diariamente comunicamos salud animo,POSITIVO,R
9724,"con ramona nos comunicamos todos los dias y a cada rato por wassap con msj, imagenes , canciones y recetas, dice que no hace falta que la llame todos los dias , porque estamos comunicadas por el wassap",ramona comunicamos rato wassap msj imagenes canciones recetas falta llame comunicadas wassap,POSITIVO,R
9725,"con ricardo hablo muy bien pero mas con su senora que su voluntaria la llamo solo 1 vez, aylen se llamaba, la senora llamo a la municipalidad para avisar, me estoy ocupando de ambos, ya que de casualidad son conocidos mios...de hace muchos anos atras.
norma marandola se llama la senora",ricardo hablo senora voluntaria llamo _digit_ llamaba senora llamo municipalidad avisar ocupando casualidad conocidos anos marandola llama senora,POSITIVO,R
9726,confirmo el pedido de la caja de comida. y ya se le dió aviso que entre hoy y mañana están pasando a entregar la caja de comida por su casa.,confirmo pedido caja comida aviso manana pasando entregar caja comida casa,NEUTRAL,NR
9727,consiguió vacunarse hoy a pesar del clima llamó por tel a un lugar cerca de su casa y le dijeron que habia vacuna y como no había colas aprovechó. se encontraba bien y aliviada por haberse podido vacunar.,consiguio vacunarse clima llamo casa vacuna colas aprovecho encontraba aliviada haberse podido vacunar,POSITIVO,R
9728,"consulta por ayuda económica, ya sea para ella o para la hija (35 años) que tiene certificado de discapacidad.",consulta ayuda economica hija _digit_ anos certificado discapacidad,NEGATIVO,R
9729,consulta por pago en rapipago por terminación de dni.,consulta pago rapipago terminacion dni,NEUTRAL,NR
9730,"consulta por sistema de salud en estos casos, por una cuestión odontologica.",consulta sistema salud casos cuestion odontologica,NEUTRAL,NR
9731,"consulta por vacuna anti-gripal. dni finalizado en 1 se paso la fecha de aplicación de la vacuna,se llama al 4513-6624,  siendo las 13:11 no contesta. queda pendiente averiguar si hay otra fecha.",consulta vacuna anti-gripal dni finalizado _digit_ paso fecha aplicacion vacuna llama _digit_-_digit_ _digit_ _digit_ contesta queda pendiente averiguar fecha,NEUTRAL,NR
9732,"consulta si hay manera de recibir la caja alimentaria. la última vez la tuvo que retirar en yrigoyen 4848. en caso contrario pregunta si puede retirarla su hijo con un dni.
fuera de esto, vengo manteniendo llamados fluídos, la sra. ya se vacunó.",consulta recibir caja alimentaria retirar yrigoyen _digit_ caso contrario pregunta retirarla hijo dni vengo manteniendo llamados fluidos vacuno,POSITIVO,R
9733,consulta vacunación (resp inmediata),consulta vacunacion resp inmediata,POSITIVO,R
9734,consulte pagina web de pami para averiguar como reclamar porque su medico no atiende llamados.,consulte pagina web pami averiguar reclamar medico atiende llamados,NEGATIVO,R
9735,consulto sobre pagos faciles,consulto pagos faciles,NEUTRAL,NR
9736,"contacto telefónico con el objeto de acompañamiento. reponde el llamado el señor ismael (am 73 años) , esposo de angela.
refiere que están acompañados. realizan tareas en su casa.
sale a hacer compras.  se le hace saber que sería pertinente no hacerlo dado que rige la cuarentena y a fin de preservar su salud.
se encuentra interesado en la ayuda alimentaria.-",contacto telefonico objeto acompanamiento reponde llamado senor am _digit_ anos esposo angela refiere acompanados realizan tareas casa sale compras pertinente rige cuarentena preservar salud interesado ayuda alimentaria -,POSITIVO,R
9737,contención.,contencion,NEGATIVO,R
9738,contenidos. esperando ver como resuelven los problemas con su obra social para medicamentos,contenidos esperando resuelven problemas obra social medicamentos,NEUTRAL,NR
9739,contenta porque en el edificio cortaron el césped.  ella vive cerca del río y le preocupa el tema mosquitos. quedamos en volver a hablar,contenta edificio cortaron cesped vive rio preocupa tema mosquitos quedamos volver hablar,POSITIVO,R
9740,contentos porque pudo retirar los alimentos,contentos retirar alimentos,POSITIVO,R
9741,contestador,contestador,NO RELEVANTE,NR
9742,contestador,contestador,NO RELEVANTE,NR
9743,contestador,contestador,NO RELEVANTE,NR
9744,contestador,contestador,NO RELEVANTE,NR
9745,contestador,contestador,NO RELEVANTE,NR
9746,contestador,contestador,NO RELEVANTE,NR
9747,contestador automático,contestador automatico,NO RELEVANTE,NR
9748,contestador automático,contestador automatico,NEGATIVO,R
9749,"contestador automático, esta vez por la manana",contestador automatico manana,NO RELEVANTE,NR
9750,continúa dando el contestador.,continua dando contestador,NO RELEVANTE,NR
9751,"continua estable, refiere que le gustaria salir  pero no lo hace, aun no le llego el bolson de alimentos  que le habian prometido y se arreglan como pueden ya que no trabaja con las changas que tenia  antes.
hay otra manera de que pueda retirar el bolson? es una pregunta que les hago yo
gracias por  tratar de solucionar esto",continua estable refiere gustaria salir bolson alimentos prometido arreglan trabaja changas retirar bolson pregunta tratar solucionar,NEUTRAL,NR
9752,"continua muy bien , muy contenta que se pudo vacunar sin ningún problema.",continua contenta vacunar problema,POSITIVO,R
9753,continua muy deprimida,continua deprimida,NEGATIVO,R
9754,continúa muy deprimida,continua deprimida,NEGATIVO,R
9755,continua sin antender,continua antender,NO RELEVANTE,NR
9756,"continua, bien me cuenta que salio a cobrar la jubilacion sin inconvenientes y de paso realizo compras y pago servicios.
se le recomienda las medidas de cuidado y refiere que toma todos los recaudos
aceptacla situacion actual sin mayores inconvenientes",continua salio cobrar jubilacion inconvenientes paso compras pago servicios recomienda medidas cuidado refiere toma recaudos aceptacla situacion actual mayores inconvenientes,POSITIVO,R
9757,conversacion amena.todo bien,conversacion,POSITIVO,R
9758,"conversación breve con carlo, a quien noté de buen humor, como todas las veces que hablé con él. todo está bien por ahora.",conversacion note humor hable,POSITIVO,R
9759,conversacion por mensaje de whatsapp,conversacion mensaje whatsapp,NEUTRAL,NR
9760,conversacion por mensaje de whatsapp,conversacion mensaje whatsapp,NO RELEVANTE,NR
9761,conversación por mensaje de whatsapp,conversacion mensaje whatsapp,NEUTRAL,NR
9762,conversacion por whatsapp,conversacion whatsapp,POSITIVO,R
9763,conversacion por whatsapp,conversacion whatsapp,NEUTRAL,NR
9764,conversación por whatsapp,conversacion whatsapp,NEUTRAL,NR
9765,conversacion x whatsapp,conversacion whatsapp,NEUTRAL,NR
9766,"conversamos sobre el estado de tiempo, me contó que ea ingeniero agronomo, docente de la universidad de córdoba no se siente afectado por la cuarentena lee,  que si se olvidó una palabra como se escribe va a sus diccionario. le pregunté por  sus filtraciones dijo  que se subió al techo y le puso una silicona y vera como funciona.  le pregunte por susana, me contaba  que con el frío estaba mas dolorida de sus hombros pero que estaban bien.",conversamos conto ea ingeniero agronomo docente universidad cordoba siente afectado cuarentena palabra escribe diccionario pregunte filtraciones subio techo puso silicona vera funciona pregunte susana contaba frio dolorida hombros,POSITIVO,R
9767,"conversamos sobre su problema con el banco, aún no lo pudo solucionar, mañana va a ir con el nieto para tratar de hacer el depósito. se le sugiere que vaya el nieto solo o que lo puedan hacer online.
no pudo ir el día que le tocaba la vacunación por la terminación de su dni, le comenté que iba a tratar de averiguar cuando podría ir.",conversamos problema banco solucionar manana nieto tratar deposito sugiere nieto puedan online tocaba vacunacion terminacion dni comente iba tratar averiguar,NEUTRAL,NR
9768,conversamos un buen rato esta muy agradecida por todos los llamados y se siente acompañada  gracias a esto.,conversamos rato agradecida llamados siente acompanada,POSITIVO,R
9769,conversamos un buen rato se encuentra bien tranquila y agradece los llamados.,conversamos rato tranquila agradece llamados,POSITIVO,R
9770,conversamos una hora y pico esta muy agradecida por los llamados y manifiesta gracias por estar,conversamos hora pico agradecida llamados manifiesta,POSITIVO,R
9771,converse con mercedes la esposa de luis. luis ya pudo vacunarse y a ella le brindé la información de las nuevas fechas de vacunación de pami en mayo y de las farmacias de munro habilitadas,converse mercedes esposa luis luis vacunarse brinde informacion fechas vacunacion pami mayo farmacias munro habilitadas,NEUTRAL,NR
9772,conversé unos minutos con su hijo. están muy bien y agradecidos,converse minutos hijo agradecidos,POSITIVO,R
9773,cortó el teléfono ni bien le dije que era de la municipalidad. voy a volver a intentar mañana.,corto telefono dije municipalidad volver manana,NO RELEVANTE,NR
9774,creo que su teléfono no funciona. pero ella siempre ests bien y con sus hijos en su casa,telefono funciona ests hijos casa,POSITIVO,R
9775,"cristina righi espera orientación para saber cómo seguir con prequirurgico del marido, quien esperaba una operación días previos al inicio de cuarentena. miguel, su marido, ha estado con dolores y ella no sabe qué hacer. sabiendo que no puede acercarse al hospital por prevención, tiene mucha incertidumbre.",righi espera orientacion seguir prequirurgico marido esperaba operacion previos inicio cuarentena miguel marido dolores sabiendo acercarse hospital prevencion incertidumbre,NEUTRAL,NR
9776,"cuando la llamé la acompañaba una vecina.  me indicó que se encontraba bien, que por el momento no necesitaba nada. 
me recordó que se asisten entre los vecinos  y me informó que ya se vacunó contra la gripe.",llame acompanaba vecina encontraba necesitaba recordo asisten vecinos vacuno gripe,POSITIVO,R
9777,cuando llamo sigue diciendo que el numero es incorrecto...ya llame muchas veces,llamo diciendo numero incorrecto llame,NO RELEVANTE,NR
9778,da el contestador en el telefono. reintento.,contestador telefono reintento,NO RELEVANTE,NR
9779,dar de baja - imposible comunicarse,baja - imposible comunicarse,NO RELEVANTE,NR
9780,"datos de vecina: susana lerson
domicilio: panama y pelliza.  
telefono: 47568067",datos vecina susana lerson domicilio panama pelliza telefono _digit_,NO RELEVANTE,NR
9781,de buen animo en contacto con su familia.,animo contacto familia,POSITIVO,R
9782,"de buen animo, haciendo jardineria . procupado por la gente que ale y no se cuida",animo jardineria procupado gente cuida,POSITIVO,R
9783,"de buen animo, mirando tv. no se vacuno ni se piensa vacunar",animo mirando tv vacuno piensa vacunar,POSITIVO,R
9784,"de buen animo,haciendo cosas e la casa. preocupado x lo economico. quiere saber si como jubilado tiene descuento en los impuetos",animo casa preocupado economico jubilado descuento impuetos,POSITIVO,R
9785,"de buen animo. pregunta si hay prorroga para el pago de abl. mirando tv y tomando mate.
no se vacuno ni lo piensa hacer",animo pregunta prorroga pago abl mirando tv tomando mate vacuno piensa,POSITIVO,R
9786,de le brindaron los teléfonos de los vacunatorios municipales de olivos para que puedan consultar disponibiildad de vacunas antes de salir de su casa.,brindaron telefonos vacunatorios municipales olivos puedan consultar disponibiildad vacunas salir casa,NEUTRAL,NR
9787,de lo q esta pasando en el mundo,pasando mundo,NEUTRAL,NR
9788,"de los cuatro contactos asignados, solo pude encontrar a tres.
el contacto es fluido y diario.
a disposición para hacer más contactos si fuera necesario.",contactos asignados pude encontrar contacto fluido diario disposicion contactos necesario,POSITIVO,R
9789,"debido al cigarrillo,  tiene un eficema pulmonar/bronquitis y suele enfermarse en invierno. necesita darse la vacuna antigripal y la neumococo. tanto él con la mujer. esa es su principal preocupación/miedo.  no pudieron en la farmacia que tienen cerca y tienen miedo de salir.",cigarrillo eficema pulmonar bronquitis suele enfermarse invierno necesita darse vacuna antigripal neumococo mujer principal preocupacion miedo pudieron farmacia miedo salir,NEGATIVO,R
9790,deje mensaje,deje mensaje,NO RELEVANTE,NR
9791,deje mensaje,deje mensaje,NO RELEVANTE,NR
9792,deje mensaje no atiende.,deje mensaje atiende,NO RELEVANTE,NR
9793,dejé mensaje.,deje mensaje,NO RELEVANTE,NR
9794,deje pasar unos días porque es muy especial. depende de su humor como te trata. hoy fue una linda conversación. esta bien,deje pasar especial depende humor linda conversacion,POSITIVO,R
9795,derivé a secretaría de salud por recetas y autorizaciones,derive secretaria salud recetas autorizaciones,NEUTRAL,NR
9796,"desconfía un poco, le pase mi celular  y le dije que la llamaría en unos días.
no esta bien en el sistema el celular suyo la tengo que llamar al de linea. es paciente cardíaca.",desconfia pase celular dije llamaria sistema celular llamar linea cardiaca,POSITIVO,R
9797,"desde el 147 nos dicen que no se esta haciendo nuevo calendario de vacunación para adultos mayores. estoy llamando al marini pero no me atienden (el señor vive a unas cuadras del marini, sería ideal qu ese pueda vacunar ahi) hace mas de una semana que venimos llamando y dando vueltas con esto.",_digit_ calendario vacunacion adultos mayores llamando marini atienden senor vive cuadras marini ideal qu vacunar semana venimos llamando dando vueltas,NEGATIVO,R
9798,"desde el 5/04 que mantengo contacto con la sra., se encuentra bien y vive con su marido; ambos se encuentran atendidos por la hija del marido.
alrededor de mediados de abril, la sra. manifestó que se encuentran bien y que no es necesario que la siga llamando!",_digit_ _digit_ mantengo contacto vive marido; encuentran atendidos hija marido mediados abril encuentran necesario siga llamando,POSITIVO,R
9799,desde el comienzo nunca contesto telefono. no hay comunicacion con ella.,comienzo contesto telefono comunicacion,NO RELEVANTE,NR
9800,desde el dia 3/4 intentó comunicarme con el celular adjunto (el fijo es de una amiga) pero da siempre apagado.,_digit_ _digit_ comunicarme celular adjunto fijo amiga apagado,NO RELEVANTE,NR
9801,desde el dia 3/4 intento comunicarme con el celular adjunto sin exito. da apagado siempre.,_digit_ _digit_ comunicarme celular adjunto exito apagado,NO RELEVANTE,NR
9802,"desde el día 5/04 me comunico con la sra.  cristina permanentemente, consultó por la vacuna antigripal, le pasé la info y ya se la aplicó. muy contenta de recibir mi llamado siempre, se encuentra muy bien de ánimo y se maneja sola.",_digit_ _digit_ comunico permanentemente consulto vacuna antigripal pase info aplico contenta recibir llamado animo maneja,POSITIVO,R
9803,"desde el día 5/04 que mantengo contacto permanente con la sra. graciela, ya que es una persona con depresión y trato de acompañarla lo más que pueda, ella tiene mi tel. y ante cualquier urgencia o necesidad sabe que puede llamarme.
en este momento se encuentra a la espera de poder vacunarse, ya que en la farmacia por pami se acabaron las vacunas.",_digit_ _digit_ mantengo contacto permanente persona depresion trato acompanarla urgencia necesidad llamarme espera vacunarse farmacia pami acabaron vacunas,NEGATIVO,R
9804,"desde el día 7/04 me comunico con la sra., mantengo un contacto constante con ella, está muy agradecida por este programa y por la atención que se le brinda.
en la semana próxima le toca vacunarse, le pasé la info corresondiente.
preguntó también para poder recibir alimentos, y le pasé la info de dónde podría retirarlos, pero se le complica en este caso porque le es muy trasmano y debería ir su sobrino a buscarlos.",_digit_ _digit_ comunico mantengo contacto constante agradecida programa atencion brinda semana proxima toca vacunarse pase info corresondiente pregunto recibir alimentos pase info retirarlos complica caso trasmano deberia sobrino buscarlos,POSITIVO,R
9805,"desde el lunes que intento comunicarme con el sr., al ver que no contestaba hoy me tome el atrevimiento de llamar a la esposa. me dijo que el sr estaba en la isla del tigre y vino el martes para vacunarse. no pudieron vacunarse, ninguno de los dos. el sr. volvio para la isla. nuevamente va a volver para vte lópez y pide que se los vacune a los dos. tambien la sra pide si le pueden llevar la caja de comida, que a ella tener la caja la ayuda mucho. dice que su familia, ni ella quieren salir porque saben que en el barrio hay personas infectadas.",lunes comunicarme sr contestaba atrevimiento llamar esposa sr isla tigre vino martes vacunarse pudieron vacunarse sr volvio isla nuevamente volver vte lopez pide vacune pide caja comida caja ayuda familia quieren salir barrio personas infectadas,NEUTRAL,NR
9806,desde el lunes que no atiende y es una persona muy agradable y me preocupa tiene pareja. a veces se queda su pareja con el,lunes atiende persona agradable preocupa pareja queda pareja,NEGATIVO,R
9807,desde el viernes 24 de abril estamos atras de las vacunas antigripales que se acabaron en el municipio. se llamo a la direccion de atencion primaria segun protocolo y aun no hay,viernes _digit_ abril vacunas antigripales acabaron municipio llamo direccion atencion primaria protocolo,NEGATIVO,R
9808,"desde la 12 horas que solicito ayuda y no la obtuve. vivo en martínez, recién ahora descubro por qué no puedo contactarme con el 107 ni con el 109.  pude hacerlo a través del 4711-2800. quedaron en avisarme. 12,30 me llama la misma sta. que me tomó el pedido para pedirme mi dirección particular porque antes de ir a ver al am debían pasar por casa. no entiendo el motivo de este requisito.
desde las 14,30 intenté saber qué pasaba, gentilmente me pasaron con desarrollo social, al principio me indicaron que no podían hacer nada pero insistí que podían comunicarse con el 109 para saber qué pasó. el sr. (no recuerdo su nombre) del interno 4417 estaba tomando los datos, se cortó la comunicación y cuando logro comunicarme nuevamente había un contestador que no admitía mensaje. mandé mail por ayuda y lo pasaron a adultos mayores, tal vez me respondan ""el lunes"". dios quiera que esto sea una falsa alarma y que la vida de esta persona no esté en peligro. el am aún sigue sin responder y, siendo las 16 horas tampoco pude comunicarme con la patrulla",_digit_ solicito ayuda obtuve vivo martinez recien descubro contactarme _digit_ _digit_ pude _digit_-_digit_ quedaron avisarme _digit_ _digit_ llama sta tomo pedido pedirme direccion particular am debian pasar casa entiendo motivo requisito _digit_ _digit_ intente pasaba gentilmente pasaron desarrollo social indicaron podian insisti podian comunicarse _digit_ paso sr recuerdo nombre interno _digit_ tomando datos corto comunicacion logro comunicarme nuevamente contestador admitia mensaje mande mail ayuda pasaron adultos mayores respondan lunes quiera falsa alarma vida persona peligro am responder _digit_ pude comunicarme patrulla,NEGATIVO,R
9809,"desde la dir. de discapacidad me informan que se ha comunicado la sra. solicitando el número de teléfono de su voluntaria, elvira drexler. llamo a la voluntaria y me informa que conversa casi a diario con la sra.",discapacidad informan comunicado solicitando numero telefono voluntaria elvira drexler llamo voluntaria informa conversa diario,NEUTRAL,NR
9810,"desde la ultima actuación lo he llamado cada 3 días y hubo veces que me atenido y otras que no.
esta bien, con su hijo. igualmente esta preocupado por la situación y la sensación de incertidumbre. su pasatiempo es regar las plantas, hablar por telefono y hacer cosas de la casa",actuacion llamado _digit_ atenido hijo igualmente preocupado situacion sensacion incertidumbre pasatiempo regar plantas hablar telefono casa,NEGATIVO,R
9811,"desde que me asignaron esta persona no me he podido comunicar.
saludos cordiales
marcela cardoso",asignaron persona podido comunicar saludos cordiales cardoso,NO RELEVANTE,NR
9812,después de 1 semana de intentar comunicarme atendió el teléfono. se encuentra bien. tiene asistencia de un matrimonio vecino. por el momento no tiene necesidades.,_digit_ semana comunicarme atendio telefono asistencia matrimonio vecino necesidades,POSITIVO,R
9813,"después de 3 intentos en diferentes días y horarios, hoy me devolvió el llamado.
vive con ángela (1558602829).
solicita que asistamos a un vecino, alcides villalba, quién necesita comprar un medicamento. ángela me cuenta que llamó a la municipalidad para saber si podían ayudarlo y estaba esperando una respuesta, le va a dar mis datos a su vecino para que me contacte.",_digit_ intentos horarios devolvio llamado vive angela _digit_ solicita asistamos vecino villalba necesita comprar medicamento angela llamo municipalidad podian ayudarlo esperando respuesta datos vecino contacte,NEUTRAL,NR
9814,"después de llamar un buen rato, a las 18:46 atiende y manifiesta que en ese momento no me puede atender.",llamar rato _digit_ _digit_ atiende manifiesta atender,NO RELEVANTE,NR
9815,"después de un tiempo llamé me presenté, me recordaba pero no desea ser entrevistada, ni asistida. dice que se encuentra bien y que no necesita nada.",llame presente recordaba desea entrevistada asistida necesita,POSITIVO,R
9816,"despues de varios intentos logre comunicarme con la sra. rosa hablamos durante 37 minutos,el tel.no tiene sonido, me habla de ella de su familia y vecinos, extrana no poder salir hacer las compras, pagar los impuestos lo ayuda el esposo de su hija, exrana su nieto, su perrita por su salud no lo pude tener",intentos logre comunicarme rosa hablamos _digit_ minutos sonido familia vecinos extrana salir compras pagar impuestos ayuda esposo hija exrana nieto perrita salud pude,NEGATIVO,R
9817,dia 13 no contesta llamado telefónico inrente 3 veces en el dia,_digit_ contesta llamado telefonico inrente _digit_,NO RELEVANTE,NR
9818,"día 15/04 intenta llamar a su oncóloro, dr. lopez para consultar si se tiene que dar la vacuna. por el calendario de pami, mañana  debería dársela. no encuentra al dr., pierde el turno. esperará la próxima fecha
día 20/4 está bien, me indica que tuvo que salir al banco para cobrar, que tomó todos los recaudos indicados, que viajó en tren porque le parece el medio más seguro.",_digit_ _digit_ llamar oncoloro dr lopez consultar vacuna calendario pami manana deberia darsela dr pierde turno esperara proxima fecha _digit_ _digit_ indica salir banco cobrar tomo recaudos indicados viajo tren seguro,POSITIVO,R
9819,"día 17/04 me expresa que tiene una angustia contenida. no sabe expresar el porqué. volví a insistir sobre si tiene algún hobby, me parece que se la pasa fregando, responde que una vez concurrió a un taller literario y quedó encantada. la desafíe y le pedí por qué no escribía algo para mi, por ejemplo ""susana grosso la voluntaria"" le encantó la idea y lo hará. me dijo, además que su hijo pablo esta sufriendo una hemorragia líquida. me cuenta que hace unos cuantos años,por este motivo, lo llevó al hospital, lo atendió la dra. balmaceda. no le dió importancia, que lo veía sano y saludable, que lo volviera a lleva cuando verdaderamente esté mal (no fueron estas sus palabras, pero no puedo reproducir lo que dijo. tiene terror al tacto rectal. una vez se lo hicieron en un pasillo del hospital, atrás de un biombo. lo informé por  mail 
el día 18/04  me aconsejan llamar al 107 y enviarían una ambulancia a su domicilio y que si era necesario, por el terror que él manifestaba por el tacto, que en el 107 pidiera por salud mental.  por lo poco que conozco a la madre y al hijo sabía que no lo aceptarían.
el día 20/04 llamo para saber sobre pablo, le cuento a la mamá las instrucciones que recibí y automáticamente me dijo que suspendiera todo.  pablo estaba mucho mejor y ya no presentaba pérdidas",_digit_ _digit_ expresa angustia contenida expresar volvi insistir hobby pasa fregando responde concurrio taller literario encantada desafie pedi escribia susana grosso voluntaria encanto idea hijo pablo sufriendo hemorragia liquida anos motivo llevo hospital atendio dra balmaceda importancia veia sano saludable volviera verdaderamente palabras reproducir terror tacto rectal pasillo hospital biombo informe mail _digit_ _digit_ aconsejan llamar _digit_ enviarian ambulancia domicilio necesario terror manifestaba tacto _digit_ pidiera salud mental conozco madre hijo sabia aceptarian _digit_ _digit_ llamo pablo cuento mama instrucciones recibi automaticamente suspendiera pablo presentaba perdidas,NEGATIVO,R
9820,día 25 me comunico y me confirma que el jueves 23 le aplicaron la vacuna antigripal.,_digit_ comunico confirma jueves _digit_ aplicaron vacuna antigripal,NEUTRAL,NR
9821,día bueno muy contento y agradecido por la caja de alimentos.,contento agradecido caja alimentos,POSITIVO,R
9822,día no muy bueno se sentia.cansada y dolorida por su trombosis.,sentia cansada dolorida trombosis,NEGATIVO,R
9823,"diabetico, insulino dependiente pide,desinfección en vía publica , barrio el ceibo. su mujer esta mas ansiosa, se atiende en la sala del ceibo ,cualquier cosa pregunta por mi nombre ahi, muy agradecido por la llamada",diabetico insulino dependiente pide desinfeccion via publica barrio ceibo mujer ansiosa atiende sala ceibo cosa pregunta nombre agradecido llamada,POSITIVO,R
9824,"dice que en general esta bien ,pero necesitaria recibir ayuda con alimentos",necesitaria recibir ayuda alimentos,NEUTRAL,NR
9825,"dice que estaba viendo todas las hojas caídas por el viento y la lluvia terrible desde la ventana, que el día estaba un poco bojan pero bueno algún día tenia que llover se había levantado medio triste  pero  por suerte hablo con una persona que no hablaba hace mucho y eso la emociono y le subió un poco el animo.
me contó que hizo  musaka  de berenjenas pero después comió mas liviano ya que tiene intestinos sensibles pero ella ya sabe que cuando comienza así se tiene que calmar,me enseño unas recetas con calabaza, hablamos que ya nadie sabe que mas hacer para no aburrirse. 
hablo con el director del campito donde ellos se recrean le informaron que estaban dando alimentos allí y ayudando a los mas necesitados que eso la puso contenta pese a que ella no necesita le hace bien hablamos un poco de los comercios y lo que están sufriendo pero que las medidas que se tomaron son las correctas .",viendo hojas caidas viento lluvia terrible ventana bojan llover levantado triste suerte hablo persona hablaba emociono subio animo conto musaka berenjenas comio liviano intestinos sensibles comienza calmar enseno recetas calabaza hablamos aburrirse hablo director campito recrean informaron dando alimentos ayudando necesitados puso contenta pese necesita hablamos comercios sufriendo medidas tomaron correctas,POSITIVO,R
9826,"dice que hoy no tiene ganas de hablar, le pregunte si se sentía bien  y dice que si pero que no tiene ganas de hablar",ganas hablar pregunte sentia ganas hablar,NEGATIVO,R
9827,dice que lo llame de vez en cuando. le doy información sobre la vacunación. tiene contención familiar,llame doy informacion vacunacion contencion familiar,POSITIVO,R
9828,dice que no mira tv xq no le gustan las noticias y se encargan de las compras el marido y el nieto.,mira tv xq gustan noticias encargan compras marido nieto,NEUTRAL,NR
9829,"dijo que aún sigue esperando lo que le prometieron, una persona como manda larreta en caba, alguien que le haga las compras así ella no sale.",esperando prometieron persona larreta caba alguien haga compras sale,NEGATIVO,R
9830,"dominga dejó su contestador de la empresa claro, la llamaré luego.
dejé mensaje.",dominga contestador empresa llamare deje mensaje,NO RELEVANTE,NR
