etiqueta1,etiqueta1a,etiqueta2,etiqueta2a,etiqueta3,etiqueta3a,etiqueta4,etiqueta4a,etiqueta5,etiqueta_final,id,necesidades operativas,texto
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11727,,"realize el llamado 10:38 hs am
me respondio el llamado una persona de sexo masculino la cual me comunico con ella
le comente acerca de todo y me presente
los datos que figuran en la planilla estan correctos
me comento que es paciente transplantada y que vive con sus familiares y que la asistenten constantemente
le realizan chequeos de sangre en domicilio
me comento que se siente muy bien de animo
me comento tambien que ahora no se encuentra ""caminando"" que es lo que le recetaron los medicos despues de su transplante"
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11728,,"realize el llamado a la señora me corroboro que los datos que estan en la planilla estan bien
me comento que la asiste su hijo con mercaderia y demas cosas
me comento que intento sumarse al voluntariado pero por temas relacionados con su edad no pudo ingresar
se encuentra en buen estado de animo
se mantiene informada por los medios me comento acerca de otros puntos de ayuda alimentaria y demas
su hijo la asistiria hoy 2/05/2020 en el horario de las 15 hs con mercaderia y demas
me comento que no le interesa ya que podria haber gente que lo necesite mas"
POSITIVO,,No relevante,,Neutral,,Neutral,,NEUTRAL,Neutral,11729,necesidades operativas,realize el llamado a las 10:55 am hablamos por telefono lo tuve al tanto de todo y me solicito una caja de alimentos la cual mañana 06/05 pasare a retirar
Negativo,,No relevante,,Neutral,,Neutral,,NEUTRAL,Neutral,11730,,realize el llamado a las 11:05 am le brinde informacion la llamada fue breve no quiso brindar datos
Negativo,,Negativo,,Negativo,,Negativo,,Negativo,Negativo,11731,,"realize el llamado a las 9 am
me comento que ella es discapacitada
vive con sus esposo que es paciente oncologico
se siente angustiada y que siempre es una persona optimista
actualmente reside en la veterinaria de su hija en rosetti 3002 y dorrego"
positivo,,,,,,,,,positivo,11732,,"realize el llamado el 02/05/2020 a las 10:49 hs am 
mantuvimos una conversacion de 16 minutos
le comente acerca de la informacion
los datos que figuran en planilla son correctos
se vio muy interesada en la caja de alimentos le pase direccion horarios y como debia realizar su vecino para retirar la caja
le comente que estaba a disposicion de ella para cualquier cosa que necesite
me pidio mis datos y mi telefono para estar en contacto conmigo
un detalle:  es una persona muy creyente en dios siempre pide y reza por los demas
se la vio muy optimista y positiva
realiza activididad en bicicleta fija me comento
le gusta leer y mirar las noticias
cada tanto mira alguna pelicula
los medicamentos los recibe en su domicilio"
positivo,,,,,,,,,positivo,11733,,realizo las gestiones para averiguar sobre vacunación domiciliaria y realizo la derivación correspondiente
Neutral,,Neutral,,,,Neutral,,,NEUTRAL,11734,necesidades operativas,receta de remedios por que se le venció. también necesita alguien que les haga las compras.
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11735,,"recibí llamado de la sra. pierina para    conversar de religión, buen ánimo."
Neutral,,No relevante,,Neutral,,Positivo,,Neutral,Neutral,11736,,"recibí respuesta sobre el tema de la caja alimentaria, se les lleva a quienes no tienen familiar o auxiliar. puede ir el hijo con su dni avretirarla. llamado a margarita para informarle cómo proceder ."
Positivo,,Neutral,,Positivo,,Positivo,,Neutral,Positivo,11737,,"recibi un llamado de la señora a las 19:07 pm de la señora, me comento que estaba interesada en la caja de alimentos. yo le propuse ya que ella no puede retirarla, ni tiene a nadie que la retire le propuse de pasar a retirarla yo y llevarsela a su domicilio"
Positivo,,Neutral,,Positivo,,Positivo,,Positivo,Positivo,11738,,recibio bolsa de alimentos.   todo en orden
Neutral,,Positivo,,Neutral,,Neutral,,Neutral,Neutral,11739,,"recibió el primer llamado pero con desconfianza. está con su esposo. los hijos están lejos. se vacunaron, lo demás todo bien. piden mercadería por teléfono. no salen. le di mis datos pero no tomó nota.  le comenté que la iba a volver a llamar en dos o tres días."
Neutral,,Neutral,,No relevantes,,No relevantes,,,NEUTRAL,11740,necesidades operativas,recibio la caja con alimentos. todo ok
Neutral,,No relevante,,Neutral,,Positivo,,Neutral,Neutral,11741,necesidades operativas,recibió la caja de alimentos.
positivo,,,,,,,,,positivo,11742,,recibió la llamada de la lic ana suarez en el día de la fecha.
positivo,,,,,,,,,positivo,11743,necesidades operativas,recibió la mercaderia
positivo,,,,,,,,,positivo,11744,,"recibio muy bien el llamado agradecio,pero no necesita nada,quede en llamarla de vuelta."
Neutral,,No relevante,,Neutral,,Negativo,,NEGATIVO,Negativo,11745,,"recibo un llamado, me pide si se puede conseguir pan ó galleta para el desayuno, y si se puede alguna lata de tomates, lata de frutas, etc. le explico que la caja de alimentos se entrega una vez cada 15 días, y quedo en averiguarle. envío mail a voluntarios para consultar."
Positivo,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11746,,"recien hoy consegui hablar con ella. vive con sobrino. está tranquila aunque extraña salir a hacer sus cosas y las compras ella misma. pasa el tiempo con la cocina, la radio y cociendo.
le sugeri que nos siga en  el canal de cultura asi puede informarse de actividades que recomendamos o que relizamos a la comunidad desde alli, on line. la llamaré el lunes nuevamente."
positivo,,,,,,,,,positivo,11747,,"recién terminaba con su clase de pintura que le dieron pautas nuevas estaba muy contenta con eso,ayer se vacuno la atendieron super bien tenia solo 4 personas únicamente adelante y la organización genial, me contó que lo único que  le queda hacer ahora es solo bajar hasta la puerta a recibir sus compras online jajjaja y nada quedarse en casa.
me contó de sus retratos y las tareas que le dieron en base a esos retratos y todas las cosas nuevas que tenia que hacer y de todo un poco conversamos unos 35min.
quedamos en hablar el 17/04."
neutral,,No relevante,,Negativo,,Negativo,,NEGATIVO,Negativo,11748,necesidades operativas,reclama  lavandina para limpiar los pasillos ya recibieron bolsa de alimentos en barrio 7 de mayo lepoldo lugones y valle grande
negativo,,No relevante,,Negativo,,Negativo,,NEUTRAL,Negativo,11749,necesidades operativas,"reclama alimentos.
por favor, si me dan una fecha y como seria la asistencia le puedo comunicar en mi proximo llamado."
Positivo,,Neutral,,Neutral,,Positivo,,Neutral,Neutral,11750,,recuerdo la vacunacion. me piden que los llame de vez en cuando. los hijos los ayudan con compras y contencion
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11751,,"refiere estar muy bien, no se bajonea, se dio las 2 vacunas cerca de su casa en una farmacia y es para lo unico que salio, su hijo se encarga declas compras"
Negativo,,Negativo,,Neutral,,Negativo ,,,NEGATIVO,11752,,refiere estar un poco preocupada ya que no consigue los pañales en la farmacia x pami. ya hizo reclamo. su hija según la señora no la ayuda mucho.
Neutral,,Positivo,,Neutral,,Neutral,,Neutral,Neutral,11753,,"refiere estarcbien, solo que aun no le llegaron los alimentos
llame a la municipalidad  y  me dijeron que vaya alguien a retirarlo con la autorizacion volvi a llamar para   comunicarle esto y quedaron en ir"
negativo,,,,,,,,,negativo,11754,,"refiere su pareja, norta, que el fue a buscar alimentos en hipolito yrigoyen 4848 y no quisieron darle, que lo sacaron sumbando. la mujer, nora es quien habla siempre conmigo refiriendo cada vez que llamo, que el no esta y suele enojarse con ella si le cuenta de mi llamado."
positivo,,,,,,,,,positivo,11755,,regreso a la isla del tigre. necesita que se lo vacune a él y a su esposa. me dijo que va a regresar para vacunarse en la semana. se lo observa de óptimo humor
negativo,,,,,,,,,negativo,11756,,reitera el pedido de una cama y un colchón.
Neutral,,No relevante,,Neutral,,Negativo,,Neutral,Neutral,11757,,reitera el pedido de vacunación para su marido y para ambos la de la neumpnía
negativo,,,,,,,,,negativo,11758,,reitera pedido de ayer. hoy la señora no se sentia bien con dolor de la pierna por operacion de cadera
positivo,,,,,,,,,positivo,11759,necesidades operativas,"reitero,
estan todos muy bien pero solicita bolsón de comida"
No relevantes,,Negativo,,No relevantes,,No relevantes,,,NO RELEVANTE,11760,necesidades operativas,reprogramar entrega de alimentos - no recibio
Positivo,,Negativo,,Negativo,,Negativo ,,,NEGATIVO,11761,,"respondió a mi llamado, está bien pero le pesa la soledad y el encierro.  tiene psicólogo particular. me dice que tiene que ir al banco, la llevará su hija y esa salida la espera ansiosa para tomar un poco de aire, ver la calle y sentirse un poco más libre."
Neutral,,Positivo,,Negativo,,Negativo ,,,NEGATIVO,11762,,"ricardo acompañado con su esposa, hacen gimnasia, aburridos tambin. temerosos por el virus"
positivo,,,,,,,,,positivo,11763,,ricardo bien tratando de cambiar y comprar la bateria de su auto
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11764,,"ricardo esta bien , contento de buen humor, siempre haciendo cosas, por hacer video llamada a su nieto que cumple años"
Positivo,,Positivo,,Positivo,,Positivo,,,POSITIVO,11765,,"ricardo se encuentra muy bien, haciendo cosas de la casa."
Neutral,,Neutral,,Neutral,,Neutral,,Neutral,Neutral,11766,necesidades operativas,"riera, alicia consulta si al marido que tiene alzheimer lo pueden ir a vacunar al domicilio. ella está acompañada por el hijo pero se le dificulta el traslado."
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11767,,"rodolfo greco continúa de buen ánimo, manejándose de manera autónoma junto a su esposa.
sin novedades"
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11768,,"rodolfo se encuentra muy bien de humor..continúa manejándose de manera autónoma junto a su esposa.
sin novedades."
POSITIVO,,POSITIVO,,Neutral,,POSITIVO,,POSITIVO,POSITIVO,11769,,"romero eduardo , se encuentran bien."
POSITIVO,,POSITIVO,,Neutral,,POSITIVO,,POSITIVO,POSITIVO,11770,,romero juan. se encuentra bien.
No relevantes,,,,,,,,,NO RELEVANTE,11771,,"romero noemi, no responden al tel."
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11772,,"sábado 9/5,  18.30 hs. atendió la sra. huang. dice sentirse bien, vive acompañada. su hijo se encarga de los alimentos y medicación. no está deprimida, ni angustiada. desconfía del llamado. repito mi nombre, apellido y dni para que llame al 147 y corrobore mi identidad. no parece necesitar ayuda y se siente intimidada por los llamados. no le agrada que sepa su nombre, teléfono y dirección. espaciaré más los llamados para no molestarla."
Positivo,,Positivo,,Neutral,,No relevantes,,,POSITIVO,11773,,sale a dar una vuelta manzana con su mascota
neutral,,,,,,,,,neutral,11774,,"sale a hacer compras, con el tapa boca, fue a preguntar para vacunarse en su farmacia mas cercana y le dijeron que no tenian mas por el momento. sigue llamando todos los dias para consultar. no puede hacer colas tan largas pq se cansa asique mando mail para pedir vacunacion a domicilio."
neutral,,No relevante,,No relevante,,Neutral,,POSITIVO,No relevante,11775,,salio a cobrar la jubilación
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11776,,saludo por pascuas. van a vacunar a domicilio? caja de alimentos. cuando tenga novedades la llamo. está muy tranquila y contenida.
positivo,,,,,,,,,positivo,11777,,"santos olga, la volví a llamar porque se encuentra sola y es viuda, pero me dijo que tiene una almacén en frente. ella tiene mi celular de contacto, cualquier cosa se comunica conmigo"
positivo,,,,,,,,,positivo,11778,,savino natalia se encuentra bien
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11779,,"sdice que esta bien , el nieto le compro la tintura para que se tiña"
Positivo,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11780,,se  encuentra bien-
No relevantes,,Neutral,,No relevantes,,No relevantes,,,NO RELEVANTE,11781,,se acuerda llamar el miercoles 08/04
Neutral,,Neutral,,Positivo,,Positivo,,Neutral,Neutral,11782,,se arreglan solos no necesitan nada por el momento
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11783,,se charlo brevemente con la sra. verón e indicó que fue al médico para tratar su cuadro de hipertensión y le llegó la caja de alimentos provista por la secretaría de desarrollo social. aparatemente se sentía bien de ánimo.
Negativo,,Negativo,,Negativo,,POSITIVO,,NEGATIVO,Negativo,11784,,"se comunica ella conmigo porque está preocupada. su marido se dio hace 3 días la vacuna antigripal y esta desde ayer con 39 de fiebre. dado que tiene prepaga del htal italiano, ha realizado 2 videoconferencias con médicos quienes le han indicado llevar al marido al htal central de la calle peron para un control mas exhaustivo. la señora me llama consultando que pasa si lo traslada, ya que no tiene permiso de circulación. quedo en averiguar y volver a llamarla. me contacto con el 107 y pido instrucciones para estos casos. desde allí me indican que puede trasladarlo sin permiso, preferentemente una persona joven fuera del grupo de riesgo y con el am viajando atras con barbijo. todos con documentación y explicando la urgencia. llamo a la sra, brindo información obtenida en 107. me indica que habló con la hija y que van a esperar hasta la madrugada de hoy que si sigue con fiebre alta, van a llevarlo al htal en ese horario. quedo con la sra. que me vuelvo a comunicar mañana para ver como sigue la situacion."
positivo,,,,,,,,,positivo,11785,,"se comunica ella conmigo, preocupada porque el marido tiene 39 de fiebre hace 48 hs. hace 72hs se dio la vacuna de la gripe, sin embargo estuvo haciendo compras anteriormente. hizo 2 videollamadas con el italiano y le indicaron acudir. me quiere consultar como puede circular si no tiene permiso. llamo al 107, me informo y llamo para informarla. acordamos que la llamare mañana para ver como sigue la situacion"
Neutral,,,,,,,,,Neutral,11786,,se comunicaron dos profesionales para que les comente el caso y en base a ello me indicarán qué día la asistirán para que se lo comuniquen.
Neutral,,Neutral,,No relevantes,,Neutral,,,NEUTRAL,11787,,"se comunico ella a mi teléfono celular diciendo que quizá necesite quien le retire la medicación de la farmacia, por lo tanto estaré a la espera de ese llamado y enviaré mail correspondiente de ser necesario para que alguien la asista."
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11788,,"se comunicó la esposa y me dió su celular : 11 5315 9134 rita, estuvimos hablando un buen rato, son muy simpáticos y están muy bien. me confirmó que los asiste su hija. de todos modos le dejé mis datos para que me llamen en cualquier horario si llegan a tener una urgencia o necesitan algo de la municipalidad."
No relevante,,No relevante,,Neutral,,Neutral,,Neutral,Neutral,11789,,se comunicó la profesional que contactará a la am entre lunes o martes.  el lunes la llamaré para avisarle a la sra.
No relevantes,,,,,,,,,NO RELEVANTE,11790,,se contacto a la persona 18.14 hs y  no respondió. se volvera a contactar
neutral,,No relevante,,No relevante,,No relevante,,NO RELEVANTE,No relevante,11791,,se contacto a la persona 18.26 hs y no respondió. se volverá a contactar nuevamente
Positivo,,Positivo,,No relevantes,,Positivo,,,POSITIVO,11792,,"se contacto a la persona 18.32 hs, informo que dentro de todo la está pasando bien, buscando pasa tiempos, que no necesita nada ya que tiene quien la asista, informo que vive con su hermano por el momento, y quedamos en volver hablar a modo de charla amena"
Positivo,,Positivo,,Positivo,,Positivo,,,POSITIVO,11793,,"se contacto a la persona a las 18.23 hs, manifesto que se siente bien atravesando la cuarentena, tiene a su hija que le hace las compras, se divierte viendo netflix. quedamos en volver a conversar a modo de pasar el rato"
Positivo,,Positivo,,Neutral,,Neutral,,,POSITIVO,11794,,"se contactó con la señora todo en orden la misma vive con  la hija y nieta, cuenta  con atención permanente, razón por la cual  se acordó el llamado día por medio"
No relevantes,,No relevantes,,No relevantes,,No relevantes,,,NO RELEVANTE,11795,,se continúa constatando y el teléfono continúa sin ser  un abonado en servicio
Neutral,,Neutral,,No relevantes,,No relevantes,,,NEUTRAL,11796,,"se continúa llamando a casa de la señora cabral elvira 4-730-1798 y no contestan...cabe la posibilidad q la señora haya ido a casa de una hija...tal como lo dio a entender , su hija quién atendió la primer llamada..."
POSITIVO,,No relevante,,Neutral,,Neutral,,POSITIVO,POSITIVO,11797,,"se conumico con la señora, sin novedades, dado que viene con su marido y esta en constante  contacto con los hijos, se convino  realizar contacto día por medio"
Neutral,,No relevante,,Neutral,,Neutral,,Neutral,Neutral,11798,,se coordino con ioma para ver la posibilidad de vacunarse en su domicilio ..todavía no lo lograron hacer en la salita ...veremos esta  semana.
No relevantes,,No relevantes,,No relevantes,,No relevantes,,,NO RELEVANTE,11799,,se deja mensaje
No relevantes,,No relevantes,,No relevantes,,No relevantes,,,NO RELEVANTE,11800,,se deja mensaje
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11801,,"se dialoga con azucena el día domingo 12, se le desea felices pascuas a ella y a su familia. 
refiere que se encuentra atareada ordenando la casa y cocinando. se le indica que tiene el número para llamar cuando así lo desee. manifiesta seguir con un buen ánimo, comprende que lo mejor para ella y los demás es quedarse en la casa."
Positivo,,Positivo,,Positivo,,Positivo,,,POSITIVO,11802,,"se dialoga con azucena nuevamente, se la escucha muy bien de ánimo y refiere estar atareada preparando comida para la semana. 
se le pregunta por la vacunta antigripal y refiere que tanto él como su marido ya se colocaron la vacuna.
sigue en contacto diario con su nieto, hijo y nuera.
agradece el llamado."
POSITIVO,,POSITIVO,,Neutral,,Neutral,,POSITIVO,POSITIVO,11803,,"se dialoga con griselda. manifiesta que sigue de buen ánimo, pero que le cuesta estar encerrada y que extraña ver a su familia. su hija le sigue haciendo las compras y se mantiene ocupada ordenando la casa, cocinando, estudiando italiana y tejiendo. recuerda que el martes tiene que ir a vacunarse.
se le desea felices pascuas.
se le recuerda que tiene el número de teléfono para llamar por cualquier cosa."
POSITIVO,,No relevante,,Neutral,,Neutral,,NO RELEVANTE,Neutral,11804,,se dio las 2 vacunas hoy
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11805,,se ecuentra muy bien mirando un ratito las noticias y siempre agradeciendo los llamados conversamos un rato.
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11806,,"se encentra bien hablo con sus médicos que tordos le recomendaron que no valla a realizarse ninguno de los estudios que tiene de rutina por que es muy peligroso en su estado se puede contagiar, estaban mirando la tele con su marido llevando bien los días sigue leyendo la biblia cuida sus plantas  hace un poco de gym.. hoy es la santacena me dijo que iba a rezar por mi y por que sigamos todos lo mejor posible ella es muy creyente  conversamos de la vida durante una hora y media"
POSITIVO,,Neutral,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11807,,se encontraba bien aprovechado el que el día estaba frío para dormir siesta.
positivo,,,,,,,,,positivo,11808,,"se encontraba bien, junto a su marido"
Positivo,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11809,,"se encontraba bien, le comente que puede retirar dos cajas por mes, había retirado un sola."
Neutral,,No relevante,,Neutral,,Neutral,,Neutral,Neutral,11810,,"se encontraba descansando , hable con su esposo mañana la vuelvo a llamar"
Neutral,,No relevantes,,No relevantes,,No relevantes,,,NO RELEVANTE,11811,,se encontraba en la calle no podia hablar
POSITIVO,,POSITIVO,,Neutral,,POSITIVO,,NEGATIVO,POSITIVO,11812,,se encontraba más tranquila. la semana próxima tendría turno con su psiquiatra
Positivo,,Positivo,,Positivo,,Positivo,,Neutral,Positivo,11813,,"se encontraba ocupada cortando el pasto de su jardín, me contó en la semana ya tenía turno para vacunarse, hablamos de las medidas de prevención y cuidados para salir, ya que la asisten su hijo y vecinos."
positivo,,,,,,,,,positivo,11814,,"se encontraban bien, conversamos bastante."
positivo,,,,,,,,,positivo,11815,,se encontraban muy bien.
positivo,,,,,,,,,positivo,11816,,se encuentea bien
Neutral,,Neutral,,Neutral,,Neutral,,,NEUTRAL,11817,,se encuentra  asistido por su familia no necesita nada por el momento
positivo,,,,,,,,,positivo,11818,,se encuentra  muy bien que por ahora no necesitan nada y  agradecen muchisimo el llamado por telefono
positivo,,,,,,,,,positivo,11819,,"se encuentra acompañada por su hija gabriela, pasó las pascuas acompañada en familia, se encuentra bordando y leyendo novelas.. buen ánimo"
positivo,,,,,,,,,positivo,11820,,"se encuentra acompañado de su familia, en este último llamado estaba jugando a las cartas y su familia se encuentra  a disposición de el por el momento."
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11821,,se encuentra activo trabajando un poco de carpintería. está  tranquilo
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11822,,"se encuentra animada  ya me llama por mi nombre ,me conto q es`pera mi llamada"
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11823,,"se encuentra animada ,charlamos mientras toma mate,extrañan mucho a sus nietos,sus hijos viven lejos en mercedes"
Positivo,,No relevante,,Neutral,,Positivo,,Positivo,Positivo,11824,,se encuentra asistido por su familia no necesita nada por el momento
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11825,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11826,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11827,,se encuentra bien
POSITIVO,,POSITIVO,,Neutral,,POSITIVO,,POSITIVO,POSITIVO,11828,,se encuentra bien
Neutral,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11829,,se encuentra bien
Neutral,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11830,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11831,,se encuentra bien
positivo,,,,,,,,,positivo,11832,,se encuentra bien
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11833,,se encuentra bien
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11834,,se encuentra bien
POSITIVO,,POSITIVO,,Neutral,,POSITIVO,,POSITIVO,POSITIVO,11835,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11836,,se encuentra bien
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11837,,se encuentra bien
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11838,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11839,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11840,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11841,,se encuentra bien
Positivo,,Neutral,,Positivo,,Positivo,,,POSITIVO,11842,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11843,,se encuentra bien
Positivo,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11844,,se encuentra bien
positivo,,,,,,,,,positivo,11845,,se encuentra bien
positivo,,,,,,,,,positivo,11846,,"se encuentra bien , con su pareja quien la asiste.  se queja de la falta de dinero ."
Positivo,,Positivo,,No relevantes,,Positivo,,,POSITIVO,11847,,"se encuentra bien , fue a vacunarse y le dieron turno para el lunes a las 8 hs , hoy  no había mas vacunas"
Positivo,,Neutral,,Neutral,,Positivo,,Positivo,Positivo,11848,,"se encuentra bien , su hijo agradece los llamados"
positivo,,,,,,,,,positivo,11849,,"se encuentra bien ,muy bien de animo haciendo  las cosas de la casa para entretenerce seguire nllamndola para ver como sigue"
positivo,,,,,,,,,positivo,11850,,se encuentra bien .continuamos con lo pautado ..a la espera del pedido de su hijo para cuando necesite colaboración
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11851,,se encuentra bien asistida por su familia no necesita  nada por el momento
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11852,,se encuentra bien con su hija y su hijo.
Positivo,,Positivo,,Positivo,,Positivo,,,POSITIVO,11853,,se encuentra bien de animo
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11854,,se encuentra bien de animo  me dice que siempre  esta esperando que lo llame
positivo,,,,,,,,,positivo,11855,,"se encuentra bien de ánimo, cocina  para entretenerse,se mantiene informada ,su hijo se encarga de las compras , aunque algunas veces sale para hacer mandados"
Positivo,,Positivo,,Positivo,,Positivo,,,POSITIVO,11856,,"se encuentra bien de animo, contenta por mi llamado"
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11857,,"se encuentra bien de animo, mas animada"
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11858,,"se encuentra bien de ánimo, no necesita asistencia. charlamos un rato y en unos días la vuelvo a llamar."
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11859,,"se encuentra bien de animo, una vecina le hizo las compras."
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11860,necesidades operativas,"se encuentra bien de animo, va a ir a retirar la caja de alimentos"
positivo,,,,,,,,,positivo,11861,,"se encuentra bien de animo, vamos a seguir con las llamadas a pedido de ella"
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11862,,"se encuentra bien de animo,teje yy se comunica con sus familiares por wasap"
Positivo,,Positivo,,Positivo,,Positivo,,,POSITIVO,11863,,"se encuentra bien de animos, pidio que me siga comunicando con ella"
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11864,,se encuentra bien de salud y tiene todo lo que necesita. está considerando darse la vacuna de la gripe pero dice que le comunicaron desde el municipio que las vacunas están agotadas. es posible que solicite aplicación en domicilio la semana que viene (de existir vacunas)
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11865,necesidades operativas,"se encuentra bien de salud, ánimo pero ya candado del encierro, pudo retirar su caja de alimento ."
POSITIVO,,Neutral,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11866,,"se encuentra bien de salud, atendido, no le falta nada, todo más que bien expresa, el 21 el sistema no me permitía agregar nueva acción."
Positivo,,Neutral,,Neutral,,Positivo,,,POSITIVO,11867,,se encuentra bien hable con mari su esposa
positivo,,,,,,,,,positivo,11868,,"se encuentra bien la asisten sus hijos
vuelvo a mandar porque no me verifica el envío"
Neutral,,Neutral,,No relevantes,,Positivo,,,NEUTRAL,11869,,se encuentra bien- no es partidaria de las vacunas...no puedo hacer nada al respecto
Positivo,,Positivo,,Neutral,,Positivo,,Positivo,Positivo,11870,,se encuentra bien- nos comunicamos por whatsapp
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11871,,"se encuentra bien ocupada haciendo las cosas de su casa de a poquito porque antes tenía alguien q la ayudaba, pero dice que ahora se entretiene haciendolas ellas con el esposo...pudo elaborarse unos tapabocas caseros con las instrucciones que le di en el encuentro anterior."
Neutral,,No relevantes,,Neutral,,Negativo ,,,NEUTRAL,11872,,se encuentra bien pero aburrida
POSITIVO,,Negativo,,Negativo,,Neutral,,POSITIVO,Negativo,11873,,"se encuentra bien pero cansada de la cuarentena, le explique que era por nuestro bien.  un poco angustiada, pero muy agradecida por el llamado porque hablamos mucho"
Positivo,,Positivo,,Neutral,,Neutral,,,NEUTRAL,11874,,se encuentra bien por suerte. quiere ir a trabajar.  pero sigue en cuarentena.  ayuda al hijo que se quedo sin trabajo.
Positivo,,Positivo,,Neutral,,Neutral,,,POSITIVO,11875,,se encuentra bien- quedamos que la llamaba en unos dias...
Positivo,,Positivo,,Neutral,,Positivo,,,POSITIVO,11876,necesidades operativas,se encuentra bien recibió su caja con comida de la municipalidad
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11877,,se encuentra bien se ocupa de su casa y sus plantas y estudia via zoom francés. sus hijos le van hacer las compras o pide via delivery sus alimentos. tiene un turno para vacunarse el día 28 de abril en un instituto.
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11878,,se encuentra bien- se vacuno el lunes junto a su esposo-no tuvo ningun problema aun.
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11879,,se encuentra bien sin ningún inconveniente ni necesidad.
POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,,POSITIVO,POSITIVO,11880,,se encuentra bien y agradece los llamados
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11881,,se encuentra bien y animada. no necesita nada por ahora. se pacta nueva llamada
Positivo,,Positivo,,Positivo,,Positivo,,Positivo,Positivo,11882,,"se encuentra bien y contento , por su hijo , que hace cuatro meses tuvo una acv
y ya empezó a caminar de a poquito"
positivo,,,,,,,,,positivo,11883,,"se encuentra bien y sigue acompañada por sus familiares, agradeció el llamado
volvi a mandar porque no me verifica el enviado"
